    X[m]        Y[m]      ZGround[m]       GroundZ0[m]       Height[m]    Wspd_2D[m/s]  Wspd_3D[m/s]  Direction[º]   Turb.Intensity  
 168           204 
6.582773e+05  7.185011e+06  9.325912e+02  1.000000e-04  1.000000e+01  4.715622e+00  4.716525e+00  7.97e+01  7.966421e-02
6.582773e+05  7.185211e+06  9.334329e+02  1.000000e-04  1.000000e+01  4.660267e+00  4.660655e+00  7.74e+01  6.609080e-02
6.582773e+05  7.185411e+06  9.233336e+02  1.601216e-03  1.000000e+01  4.669521e+00  4.674647e+00  7.78e+01  8.655449e-02
6.582773e+05  7.185611e+06  9.535101e+02  2.451745e-02  1.000000e+01  4.752813e+00  4.759210e+00  7.88e+01  1.025639e-01
6.582773e+05  7.185811e+06  9.601003e+02  2.839724e-02  1.000000e+01  4.706334e+00  4.713232e+00  7.98e+01  1.042875e-01
6.582773e+05  7.186011e+06  9.613069e+02  3.642058e-01  1.000000e+01  4.204151e+00  4.209972e+00  7.99e+01  1.540790e-01
6.582773e+05  7.186211e+06  9.549606e+02  4.338256e-03  1.000000e+01  4.202296e+00  4.209314e+00  8.14e+01  1.134156e-01
6.582773e+05  7.186411e+06  9.574119e+02  4.807524e-04  1.000000e+01  4.341985e+00  4.343585e+00  8.07e+01  8.938621e-02
6.582773e+05  7.186611e+06  9.801107e+02  1.000000e-04  1.000000e+01  4.674766e+00  4.677573e+00  7.89e+01  8.375632e-02
6.582773e+05  7.186811e+06  9.755871e+02  2.286642e-02  1.000000e+01  4.703944e+00  4.715837e+00  8.09e+01  9.792929e-02
6.582773e+05  7.187011e+06  9.617485e+02  1.572234e-02  1.000000e+01  4.478563e+00  4.488446e+00  8.31e+01  8.940531e-02
6.582773e+05  7.187211e+06  9.431879e+02  1.771871e-03  1.000000e+01  4.314544e+00  4.316404e+00  8.32e+01  9.119371e-02
6.582773e+05  7.187411e+06  9.347622e+02  1.507733e-02  1.000000e+01  4.406915e+00  4.406923e+00  8.30e+01  8.781900e-02
6.582773e+05  7.187611e+06  9.451955e+02  1.000000e-04  1.000000e+01  4.362409e+00  4.362592e+00  8.41e+01  6.243056e-02
6.582773e+05  7.187811e+06  9.598396e+02  1.000000e-04  1.000000e+01  4.299370e+00  4.310095e+00  8.49e+01  6.181862e-02
6.582773e+05  7.188011e+06  9.721231e+02  1.000000e-04  1.000000e+01  4.294236e+00  4.316658e+00  8.28e+01  6.207430e-02
6.582773e+05  7.188211e+06  9.652650e+02  1.000000e-04  1.000000e+01  4.479074e+00  4.490000e+00  7.98e+01  6.207855e-02
6.582773e+05  7.188411e+06  9.733447e+02  1.000000e-04  1.000000e+01  4.676136e+00  4.676684e+00  8.03e+01  6.086577e-02
6.582773e+05  7.188611e+06  9.601960e+02  2.173325e-02  1.000000e+01  4.379767e+00  4.379866e+00  8.42e+01  9.289049e-02
6.582773e+05  7.188811e+06  9.335742e+02  7.044677e-04  1.000000e+01  3.900628e+00  3.903426e+00  8.59e+01  7.400154e-02
6.582773e+05  7.189011e+06  9.407863e+02  4.945310e-02  1.000000e+01  3.825910e+00  3.835457e+00  8.33e+01  1.018492e-01
6.582773e+05  7.189211e+06  9.366729e+02  1.000000e-04  1.000000e+01  4.012064e+00  4.017004e+00  8.32e+01  7.379110e-02
6.582773e+05  7.189411e+06  9.380771e+02  1.000000e-04  1.000000e+01  4.061949e+00  4.067646e+00  8.32e+01  6.246681e-02
6.582773e+05  7.189611e+06  9.403561e+02  1.000000e-04  1.000000e+01  3.819001e+00  3.825083e+00  8.16e+01  7.088979e-02
6.582773e+05  7.189811e+06  9.411523e+02  4.890696e-02  1.000000e+01  3.847995e+00  3.850132e+00  7.95e+01  1.008268e-01
6.582773e+05  7.190011e+06  9.297201e+02  1.000000e-04  1.000000e+01  3.939242e+00  3.943820e+00  7.79e+01  6.672543e-02
6.582773e+05  7.190211e+06  9.470876e+02  1.000000e-04  1.000000e+01  3.975968e+00  4.003637e+00  7.88e+01  6.748503e-02
6.582773e+05  7.190411e+06  9.617474e+02  1.000000e-04  1.000000e+01  4.252409e+00  4.285515e+00  8.20e+01  6.406000e-02
6.582773e+05  7.190611e+06  9.624801e+02  1.923216e-02  1.000000e+01  4.189131e+00  4.222537e+00  8.42e+01  8.967802e-02
6.582773e+05  7.190811e+06  9.552050e+02  3.707271e-03  1.000000e+01  3.973999e+00  3.993953e+00  8.59e+01  8.848649e-02
6.582773e+05  7.191011e+06  9.455509e+02  1.000000e-04  1.000000e+01  3.937089e+00  3.952000e+00  8.62e+01  6.529399e-02
6.582773e+05  7.191211e+06  9.505569e+02  1.000000e-04  1.000000e+01  3.604532e+00  3.611631e+00  8.67e+01  7.428171e-02
6.582773e+05  7.191411e+06  9.505000e+02  2.578126e-02  1.000000e+01  3.291503e+00  3.291592e+00  8.52e+01  9.644194e-02
6.582773e+05  7.191611e+06  9.575655e+02  1.000000e-04  1.000000e+01  3.675472e+00  3.675533e+00  8.07e+01  8.217072e-02
6.582773e+05  7.191811e+06  9.786215e+02  1.827495e-03  1.000000e+01  3.841610e+00  3.844885e+00  7.81e+01  1.019199e-01
6.582773e+05  7.192011e+06  1.001549e+03  1.000000e-04  1.000000e+01  4.076178e+00  4.102521e+00  7.97e+01  6.463620e-02
6.582773e+05  7.192211e+06  9.907664e+02  1.000000e-04  1.000000e+01  3.911743e+00  3.939023e+00  8.37e+01  6.710456e-02
6.582773e+05  7.192411e+06  1.002833e+03  1.000000e-04  1.000000e+01  3.704213e+00  3.708445e+00  8.38e+01  7.002788e-02
6.582773e+05  7.192611e+06  9.907585e+02  1.000000e-04  1.000000e+01  3.705690e+00  3.707274e+00  8.14e+01  7.038826e-02
6.582773e+05  7.192811e+06  9.650568e+02  1.000000e-04  1.000000e+01  3.231009e+00  3.233253e+00  8.34e+01  9.816351e-02
6.582773e+05  7.193011e+06  9.635055e+02  7.312364e-02  1.000000e+01  3.041925e+00  3.042193e+00  8.25e+01  1.303189e-01
